zip_code,year,median_household_income
85746,2013,41427
85750,2013,74060
85714,2013,24874
33605,2013,26313
33610,2013,29130
33611,2013,54021
33625,2013,56635
33635,2013,54340
33511,2013,52511
33603,2013,34565
33613,2013,26486
33621,2013,61850
33626,2013,98303
33612,2013,28474
33614,2013,35098
33615,2013,47903
33620,2013,-666666666
33607,2013,31831
33609,2013,57086
33617,2013,37323
33647,2013,72131
33705,2013,35349
33556,2013,87326
33604,2013,32091
33618,2013,58609
33637,2013,44291
33763,2013,39175
33619,2013,32481
33545,2013,66115
33559,2013,55643
33634,2013,49315
33629,2013,96661
33606,2013,61278
33616,2013,46548
33602,2013,63292
33624,2013,57872
34677,2013,58920
46077,2013,107301
46128,2013,54861
46208,2013,31999
46219,2013,41332
46239,2013,67494
46241,2013,34600
46033,2013,116021
46240,2013,53699
46201,2013,26391
46225,2013,24548
46234,2013,66186
46250,2013,53568
46229,2013,44626
46235,2013,36213
46032,2013,94045
46204,2013,39826
46214,2013,41095
46216,2013,44479
46237,2013,57266
46256,2013,71759
46142,2013,68116
46203,2013,30481
46222,2013,27581
46224,2013,30660
46226,2013,34368
46228,2013,58208
46231,2013,63340
46254,2013,40046
46260,2013,41826
46278,2013,106738
46112,2013,75738
46113,2013,63480
46218,2013,25666
46220,2013,62063
46236,2013,80833
46221,2013,48294
46227,2013,37380
46268,2013,41718
46143,2013,63265
46202,2013,31698
46205,2013,36429
46217,2013,60254
46259,2013,85700
46037,2013,99707
46290,2013,151557
46280,2013,61230
37204,2013,64267
37243,2013,-666666666
37246,2013,-666666666
37203,2013,28651
37205,2013,80910
37214,2013,49476
37026,2013,32269
37115,2013,37200
37072,2013,53138
37138,2013,56504
37207,2013,31756
37208,2013,22409
37135,2013,95580
37201,2013,54392
37213,2013,-666666666
37067,2013,95155
37013,2013,47455
37076,2013,52249
37206,2013,37369
37210,2013,26567
37215,2013,95237
37220,2013,99260
37221,2013,68473
37209,2013,43625
37217,2013,40661
37219,2013,52232
37027,2013,114257
37189,2013,52589
37228,2013,15286
37211,2013,43251
37212,2013,51435
37216,2013,44323
37218,2013,42225
19107,2013,44402
19126,2013,40031
19132,2013,24233
19134,2013,24291
19140,2013,22654
19147,2013,60400
19137,2013,43522
19136,2013,44641
19106,2013,93720
19141,2013,29601
19145,2013,35761
19116,2013,48058
19115,2013,45799
19120,2013,33966
19150,2013,46462
19087,2013,108409
19111,2013,44123
19123,2013,48798
19142,2013,30306
19143,2013,30995
19148,2013,39413
19149,2013,36906
19151,2013,40358
19118,2013,77271
19121,2013,16105
19128,2013,62052
19131,2013,27914
19135,2013,35859
19102,2013,76962
19113,2013,106250
19122,2013,23509
19129,2013,49807
19133,2013,14185
19144,2013,29961
19152,2013,50584
19138,2013,34795
19139,2013,24627
19146,2013,42068
19112,2013,-666666666
19124,2013,28726
19103,2013,63709
19104,2013,19236
19114,2013,54074
19119,2013,58378
19125,2013,41186
19127,2013,63849
19130,2013,62721
19454,2013,87658
19153,2013,47138
19154,2013,58319
85715,2014,55694
85737,2014,80789
85741,2014,51410
85748,2014,65035
85707,2014,-666666666
85724,2014,-666666666
85755,2014,83326
85756,2014,45684
85757,2014,53300
85711,2014,32815
85713,2014,33301
85730,2014,46558
85716,2014,33313
85746,2014,41419
85750,2014,73029
85714,2014,25604
85701,2014,36211
85706,2014,30000
85735,2014,47333
85641,2014,83824
85710,2014,42049
85704,2014,52214
85705,2014,24489
85718,2014,79155
85719,2014,29100
85742,2014,68209
85743,2014,69139
85745,2014,47432
85747,2014,84230
85749,2014,85861
85712,2014,32109
85739,2014,60681
33605,2014,26363
33635,2014,56383
33610,2014,30036
33611,2014,54327
33625,2014,58778
33511,2014,53167
33603,2014,34580
33613,2014,27286
33621,2014,57857
33626,2014,101119
33612,2014,28309
33614,2014,34038
33615,2014,47617
33620,2014,-666666666
33607,2014,36047
33609,2014,58091
33617,2014,37407
33647,2014,73373
33705,2014,36937
33556,2014,89258
33604,2014,32224
33618,2014,59515
33637,2014,44767
33763,2014,37594
34677,2014,57885
33619,2014,32868
33545,2014,68741
33559,2014,56842
33634,2014,49756
33629,2014,98042
33606,2014,62657
33616,2014,48595
33602,2014,64486
33624,2014,62141
46143,2014,61556
46202,2014,31499
46205,2014,35126
46217,2014,62375
46037,2014,98109
46259,2014,86329
46077,2014,105990
46128,2014,60139
46208,2014,32286
46219,2014,40775
46239,2014,67029
46241,2014,35134
46033,2014,119104
46240,2014,52855
46142,2014,65925
46203,2014,31630
46222,2014,26606
46224,2014,30050
46226,2014,33352
46228,2014,57155
46231,2014,60816
46254,2014,41467
46260,2014,43495
46278,2014,96540
46112,2014,74851
46113,2014,62753
46218,2014,25292
46220,2014,61414
46236,2014,82227
46221,2014,45722
46227,2014,36452
46268,2014,42599
46201,2014,26353
46225,2014,28461
46234,2014,67331
46250,2014,53305
46229,2014,45218
46235,2014,37942
46032,2014,96758
46204,2014,41880
46256,2014,69549
46214,2014,41657
46216,2014,42411
46237,2014,57859
46290,2014,153682
46280,2014,62175
37135,2014,99189
37201,2014,55199
37213,2014,-666666666
37067,2014,94886
37013,2014,47451
37076,2014,51579
37203,2014,31042
37205,2014,83188
37214,2014,50827
37026,2014,34898
37115,2014,36219
37072,2014,55685
37138,2014,58890
37207,2014,31826
37208,2014,25668
37206,2014,41331
37210,2014,27958
37215,2014,98990
37220,2014,100192
37221,2014,69118
37209,2014,44829
37217,2014,42802
37219,2014,57396
37027,2014,116531
37189,2014,49577
37228,2014,16726
37212,2014,52016
37211,2014,41817
37216,2014,44643
37218,2014,41133
37204,2014,66335
37243,2014,-666666666
37246,2014,-666666666
19150,2014,46267
19087,2014,109633
19111,2014,43813
19148,2014,42119
19123,2014,49629
19142,2014,30471
19143,2014,30391
19149,2014,37602
19151,2014,41092
19118,2014,76645
19121,2014,16500
19128,2014,62587
19131,2014,27011
19135,2014,37079
19122,2014,29422
19102,2014,79095
19113,2014,36125
19129,2014,48085
19133,2014,14897
19144,2014,28363
19130,2014,66994
19152,2014,49097
19138,2014,32708
19139,2014,24335
19146,2014,45473
19112,2014,-666666666
19124,2014,29703
19103,2014,66210
19104,2014,18933
19140,2014,21918
19147,2014,62722
19137,2014,46294
19136,2014,45494
19106,2014,100653
19141,2014,28622
19145,2014,36374
19125,2014,41756
19114,2014,52342
19119,2014,54478
19127,2014,65071
19107,2014,42541
19126,2014,38077
19132,2014,22487
19134,2014,24698
19116,2014,48534
19115,2014,45425
19120,2014,35328
19153,2014,44118
19154,2014,59044
19454,2014,88565
85641,2015,82808
85710,2015,41845
85704,2015,51971
85705,2015,24188
85718,2015,76853
85719,2015,29813
85742,2015,69395
85743,2015,68945
85745,2015,47841
85747,2015,82024
85749,2015,84583
85712,2015,32240
85739,2015,62063
85707,2015,-666666666
85724,2015,-666666666
85755,2015,88305
85756,2015,43658
85757,2015,54199
85715,2015,55238
85737,2015,80571
85741,2015,51614
85748,2015,64814
85711,2015,33279
85713,2015,32892
85730,2015,45873
85716,2015,33075
85701,2015,40059
85706,2015,30550
85735,2015,46476
85746,2015,39669
85750,2015,72431
85714,2015,25106
34677,2015,58761
33621,2015,55313
33626,2015,97300
33612,2015,28867
33614,2015,33384
33615,2015,47177
33620,2015,-666666666
33607,2015,35839
33609,2015,57426
33617,2015,36176
33647,2015,74239
33705,2015,38608
33629,2015,100817
33606,2015,62204
33616,2015,50019
33602,2015,69398
33624,2015,62987
33556,2015,92572
33604,2015,33750
33618,2015,60837
33637,2015,46027
33763,2015,36913
33511,2015,52979
33603,2015,35731
33613,2015,25341
33605,2015,26070
33610,2015,29240
33611,2015,55000
33625,2015,60296
33635,2015,55451
33619,2015,34807
33545,2015,72803
33559,2015,59212
33634,2015,51055
46033,2015,120226
46240,2015,53996
46142,2015,69345
46203,2015,31142
46222,2015,26932
46224,2015,32045
46226,2015,32187
46228,2015,55282
46231,2015,60610
46254,2015,41915
46260,2015,43480
46278,2015,95938
46112,2015,74533
46113,2015,62351
46218,2015,23284
46220,2015,65280
46236,2015,79667
46221,2015,42791
46227,2015,36712
46268,2015,44282
46143,2015,64428
46202,2015,32186
46205,2015,36531
46217,2015,60407
46259,2015,91922
46037,2015,102424
46077,2015,109124
46128,2015,53553
46208,2015,30410
46219,2015,40168
46239,2015,68204
46241,2015,33550
46201,2015,26366
46225,2015,30035
46234,2015,67393
46250,2015,54560
46229,2015,44473
46235,2015,37838
46032,2015,93451
46204,2015,44342
46214,2015,41375
46216,2015,47990
46237,2015,57659
46256,2015,67750
46290,2015,153656
46280,2015,61111
37072,2015,57846
37138,2015,58849
37207,2015,32396
37208,2015,27280
37135,2015,103333
37201,2015,58508
37213,2015,-666666666
37067,2015,98207
37013,2015,48423
37076,2015,52193
37206,2015,43782
37210,2015,29035
37215,2015,103693
37220,2015,104297
37221,2015,71726
37209,2015,45224
37217,2015,42455
37219,2015,50700
37027,2015,119570
37189,2015,48115
37228,2015,15540
37211,2015,42392
37212,2015,54140
37216,2015,45472
37218,2015,42733
37204,2015,69482
37243,2015,-666666666
37246,2015,-666666666
37203,2015,33072
37205,2015,86824
37214,2015,52743
37026,2015,36094
37115,2015,35758
19118,2015,77763
19121,2015,17969
19128,2015,61144
19131,2015,27722
19135,2015,38154
19102,2015,86855
19113,2015,
19122,2015,29815
19129,2015,48129
19133,2015,17016
19144,2015,27909
19130,2015,71173
19152,2015,48735
19138,2015,33706
19139,2015,24606
19146,2015,48015
19112,2015,-666666666
19124,2015,29334
19103,2015,65965
19104,2015,20483
19114,2015,51427
19119,2015,54579
19125,2015,45720
19127,2015,70556
19107,2015,47572
19126,2015,36544
19132,2015,23380
19134,2015,26014
19140,2015,21272
19147,2015,67007
19137,2015,45223
19136,2015,44912
19106,2015,101648
19141,2015,28622
19145,2015,37024
19116,2015,46452
19115,2015,45949
19120,2015,35413
19150,2015,45771
19087,2015,118801
19111,2015,44301
19123,2015,53295
19142,2015,31191
19143,2015,29465
19148,2015,44098
19149,2015,39920
19151,2015,42610
19153,2015,42777
19154,2015,60031
19454,2015,87115
85715,2016,59228
85737,2016,74972
85741,2016,54219
85748,2016,69550
85711,2016,34551
85713,2016,32353
85730,2016,45852
85716,2016,34400
85746,2016,41224
85750,2016,72760
85714,2016,24953
85701,2016,39288
85706,2016,31368
85641,2016,84438
85710,2016,41971
85704,2016,50712
85705,2016,24717
85718,2016,81574
85719,2016,29972
85742,2016,72650
85743,2016,70670
85745,2016,47751
85747,2016,80794
85749,2016,83517
85712,2016,32610
85739,2016,62063
85707,2016,-666666666
85724,2016,-666666666
85755,2016,88466
85756,2016,45631
85757,2016,53250
85735,2016,45750
33603,2016,37798
33613,2016,28975
33621,2016,56111
33626,2016,98672
33612,2016,30063
33614,2016,35099
33615,2016,47770
33620,2016,-666666666
33619,2016,37948
33545,2016,73224
33559,2016,56313
34677,2016,61820
33607,2016,37873
33609,2016,60698
33617,2016,35486
33647,2016,76755
33705,2016,41289
33556,2016,94038
33634,2016,54501
33629,2016,105683
33606,2016,63642
33616,2016,50378
33602,2016,68742
33624,2016,62350
33605,2016,25461
33610,2016,30825
33611,2016,58374
33625,2016,59700
33635,2016,56835
33511,2016,56077
33604,2016,36474
33618,2016,66132
33637,2016,50693
33763,2016,40867
46143,2016,63134
46202,2016,33020
46205,2016,37831
46217,2016,61055
46033,2016,119906
46240,2016,54635
46201,2016,27077
46259,2016,94242
46037,2016,103128
46142,2016,72122
46203,2016,31876
46222,2016,27062
46224,2016,33800
46226,2016,34241
46228,2016,60397
46231,2016,62933
46254,2016,42497
46260,2016,44724
46278,2016,104837
46112,2016,77472
46225,2016,31291
46234,2016,71652
46250,2016,55340
46229,2016,44547
46235,2016,36959
46032,2016,94636
46077,2016,118796
46128,2016,51450
46208,2016,31312
46219,2016,39384
46239,2016,69557
46241,2016,35284
46113,2016,66189
46218,2016,23203
46220,2016,66279
46236,2016,81276
46221,2016,43395
46227,2016,37686
46268,2016,45991
46204,2016,47958
46214,2016,43281
46216,2016,43631
46237,2016,60806
46256,2016,66668
46290,2016,152404
46280,2016,61782
37115,2016,37083
37067,2016,101113
37013,2016,49805
37076,2016,55533
37206,2016,45517
37210,2016,31337
37215,2016,106617
37211,2016,45744
37212,2016,54596
37216,2016,48157
37218,2016,43067
37204,2016,67857
37243,2016,-666666666
37246,2016,-666666666
37072,2016,57129
37138,2016,62894
37207,2016,33036
37208,2016,29760
37220,2016,112335
37221,2016,74192
37209,2016,49325
37217,2016,43253
37219,2016,64219
37203,2016,39408
37205,2016,91788
37214,2016,53549
37026,2016,47283
37135,2016,95598
37201,2016,59434
37213,2016,-666666666
37027,2016,125096
37189,2016,51485
37228,2016,20110
19116,2016,46325
19115,2016,47391
19120,2016,34720
19152,2016,49069
19138,2016,35536
19139,2016,26356
19146,2016,52433
19112,2016,-666666666
19124,2016,30276
19150,2016,43778
19103,2016,70746
19104,2016,21773
19114,2016,54151
19119,2016,57560
19125,2016,52500
19127,2016,70568
19107,2016,50701
19126,2016,35172
19132,2016,22316
19134,2016,27942
19087,2016,122266
19111,2016,44737
19123,2016,57793
19142,2016,29972
19143,2016,30797
19148,2016,46108
19149,2016,39889
19151,2016,44809
19118,2016,79602
19121,2016,18877
19128,2016,64038
19131,2016,31113
19135,2016,41669
19102,2016,97839
19113,2016,-666666666
19122,2016,33448
19129,2016,47945
19133,2016,18119
19144,2016,28046
19130,2016,71263
19140,2016,21630
19147,2016,70057
19137,2016,50461
19136,2016,46319
19106,2016,101138
19141,2016,29235
19145,2016,38211
19153,2016,40921
19154,2016,60170
19454,2016,89042
85701,2017,41143
85706,2017,33128
85746,2017,44106
85750,2017,71307
85714,2017,26623
85735,2017,47292
85707,2017,-666666666
85724,2017,-666666666
85755,2017,90814
85756,2017,47117
85757,2017,53271
85641,2017,83602
85710,2017,42356
85704,2017,54363
85705,2017,26856
85718,2017,84453
85719,2017,31617
85742,2017,73497
85743,2017,72353
85745,2017,48172
85747,2017,82793
85749,2017,84521
85712,2017,33805
85739,2017,63991
85715,2017,62038
85737,2017,81039
85741,2017,57328
85748,2017,70840
85711,2017,36124
85713,2017,33028
85730,2017,48334
85716,2017,37921
33556,2017,100110
33604,2017,37316
33618,2017,67325
33637,2017,52987
33763,2017,42779
33619,2017,39932
33545,2017,75828
33559,2017,57783
33634,2017,57086
33629,2017,105443
33606,2017,74855
33616,2017,57023
33602,2017,67945
33624,2017,65189
34677,2017,63750
33605,2017,26121
33610,2017,32913
33611,2017,64018
33625,2017,63766
33635,2017,60303
33511,2017,58090
33603,2017,40078
33613,2017,29695
33621,2017,65417
33626,2017,98903
33612,2017,31101
33614,2017,37115
33615,2017,49163
33620,2017,-666666666
33607,2017,40811
33609,2017,56830
33617,2017,36181
33647,2017,81693
33705,2017,43505
46143,2017,67023
46202,2017,36092
46205,2017,41773
46217,2017,57706
46259,2017,103716
46037,2017,111873
46077,2017,128642
46128,2017,54950
46208,2017,34147
46219,2017,39329
46239,2017,72207
46241,2017,36090
46033,2017,124712
46240,2017,57917
46201,2017,28783
46225,2017,33688
46234,2017,71395
46250,2017,54944
46229,2017,46946
46235,2017,36328
46142,2017,73229
46203,2017,35292
46222,2017,30821
46224,2017,35384
46226,2017,33348
46228,2017,64680
46231,2017,62390
46254,2017,43721
46260,2017,46760
46278,2017,110750
46112,2017,77245
46113,2017,69964
46218,2017,23771
46220,2017,68015
46236,2017,81822
46221,2017,45581
46227,2017,40415
46268,2017,47813
46032,2017,97184
46204,2017,49757
46214,2017,45089
46216,2017,41587
46237,2017,63388
46256,2017,66488
46290,2017,250001
46280,2017,60984
37072,2017,59463
37138,2017,67897
37207,2017,35645
37208,2017,33105
37135,2017,109538
37201,2017,69180
37213,2017,-666666666
37067,2017,104699
37013,2017,52816
37076,2017,58501
37203,2017,50988
37205,2017,91149
37214,2017,54837
37026,2017,54509
37115,2017,39579
37206,2017,50365
37210,2017,32938
37215,2017,112047
37220,2017,114841
37221,2017,76315
37209,2017,51068
37217,2017,46421
37219,2017,73676
37027,2017,128020
37189,2017,56673
37228,2017,18856
37211,2017,50209
37212,2017,59889
37216,2017,52927
37218,2017,45037
37204,2017,76250
37243,2017,-666666666
37246,2017,-666666666
19150,2017,44764
19087,2017,131623
19111,2017,46214
19123,2017,60400
19142,2017,29581
19143,2017,32741
19148,2017,49469
19149,2017,41599
19151,2017,47287
19130,2017,76464
19140,2017,18557
19147,2017,73231
19137,2017,52376
19136,2017,45570
19106,2017,106823
19141,2017,28398
19145,2017,39374
19118,2017,82712
19121,2017,17482
19128,2017,67530
19131,2017,32873
19135,2017,43192
19102,2017,99167
19113,2017,40833
19122,2017,32284
19129,2017,50162
19133,2017,15232
19144,2017,29505
19152,2017,50159
19138,2017,37842
19139,2017,26804
19146,2017,58784
19112,2017,-666666666
19124,2017,31219
19103,2017,70638
19104,2017,25005
19114,2017,56785
19119,2017,56018
19125,2017,56508
19127,2017,66325
19107,2017,49776
19126,2017,37819
19132,2017,18918
19134,2017,27546
19116,2017,51267
19115,2017,50810
19120,2017,33117
19454,2017,92137
19153,2017,41063
19154,2017,61892
85716,2018,40274
85707,2018,-666666666
85724,2018,-666666666
85755,2018,90541
85756,2018,50785
85757,2018,52981
85715,2018,67134
85737,2018,76922
85741,2018,59087
85748,2018,73410
85711,2018,39085
85713,2018,36296
85730,2018,51622
85746,2018,47202
85750,2018,76467
85714,2018,28977
85701,2018,42344
85706,2018,34132
85641,2018,87384
85710,2018,41814
85704,2018,55891
85705,2018,27657
85718,2018,85508
85719,2018,31975
85742,2018,75603
85743,2018,73507
85745,2018,51364
85747,2018,85701
85749,2018,87229
85735,2018,44338
85712,2018,36215
85739,2018,66362
33615,2018,49506
33620,2018,-666666666
33607,2018,41794
33609,2018,63873
33617,2018,37257
33647,2018,84967
33705,2018,48171
33556,2018,100456
33604,2018,40621
33618,2018,70545
33637,2018,52635
33763,2018,42992
33619,2018,41318
